Date,League,Home,Away,Odds_H,Odds_A,Odds_H_X,Odds_X_A,Pred_H,Pred_A,Winning_team,Winning_prob,Winning_bet,Winning_bet_final,bet_type,bet_type_order,date,team,opponent,result,Winning_team_actual,bet_right,bet_right_win_draw
2023-12-03,LIGA PORTUGAL ,Braga,Estoril,1.33,8.0,1.06,3.3,0.92,0.08,Braga,0.92,1.33,1.33,safest_bet,3,2023-12-03,Braga,Estoril,W,Braga,1,1
2023-12-03,LIGA PORTUGAL ,Moreirense,Benfica,6.0,1.5,2.65,1.12,0.31,0.69,Benfica,0.69,1.5,1.5,safest_bet,3,2023-12-03,Moreirense,Benfica,D,Draw,0,1
2023-12-08,EREDIVISIE ,Twente,Excelsior,1.23,12.0,1.01,4.2,0.85,0.15,Twente,0.85,1.23,1.23,safest_bet,3,2023-12-08,Twente,Excelsior,W,Twente,1,1
2023-12-08,LIGA PORTUGAL ,Vizela,Braga,5.0,1.6,2.35,1.16,0.34,0.66,Braga,0.66,1.6,1.16,safest_bet,3,2023-12-08,Vizela,Braga,L,Braga,1,1
2023-12-09,PREMIER LEAGUE ,Brighton and Hove Albion,Burnley,1.52,6.1,1.13,2.69,0.85,0.15,Brighton and Hove Albion,0.85,1.52,1.52,safest_bet,3,2023-12-09,Brighton and Hove Albion,Burnley,D,Draw,0,1
2023-12-09,PREMIER LEAGUE ,Manchester United,Bournemouth,1.62,5.25,1.18,2.4,0.85,0.15,Manchester United,0.85,1.62,1.62,safest_bet,3,2023-12-09,Manchester United,Bournemouth,L,Bournemouth,0,0
2023-12-09,BUNDESLIGA ,Eintracht Frankfurt,Bayern Munich,8.0,1.36,3.25,1.06,0.28,0.72,Bayern Munich,0.72,1.36,1.36,safest_bet,3,2023-12-09,Eintracht Frankfurt,Bayern Munich,W,Eintracht Frankfurt,0,0
2023-12-09,LIGA PORTUGAL ,Porto,Casa Pia,1.25,13.0,1.1,3.75,0.91,0.09,Porto,0.91,1.25,1.25,safest_bet,3,2023-12-09,Porto,Casa Pia,W,Porto,1,1
2023-12-10,JUPILER PRO LEAGUE ,Eupen,Genk,7.5,1.38,3.1,1.08,0.32,0.68,Genk,0.68,1.38,1.38,safest_bet,3,2023-12-10,Eupen,Genk,L,Genk,1,1
2023-12-10,JUPILER PRO LEAGUE ,Charleroi,Union SG,5.0,1.63,2.25,1.18,0.31,0.69,Union SG,0.69,1.63,1.18,safest_bet,3,2023-12-10,Charleroi,Union SG,L,Union SG,1,1
2023-12-10,LALIGA ,Atletico Madrid,Almeria,1.22,13.0,1.08,4.5,0.88,0.12,Atletico Madrid,0.88,1.22,1.22,safest_bet,3,2023-12-10,Atletico Madrid,Almeria,W,Atletico Madrid,1,1
2023-12-10,LALIGA ,Barcelona,Girona,1.52,6.0,1.14,2.65,0.8,0.2,Barcelona,0.8,1.52,1.52,safest_bet,3,2023-12-10,Barcelona,Girona,L,Girona,0,0
2023-12-15,JUPILER PRO LEAGUE ,Westerlo,Eupen,1.85,4.0,1.25,2.0,0.82,0.18,Westerlo,0.82,1.85,1.25,safest_bet,3,2023-12-15,Westerlo,Eupen,W,Westerlo,1,1
2023-12-16,LIGUE 1 ,Lens,Reims,1.85,3.9,1.26,1.98,0.82,0.18,Lens,0.82,1.85,1.26,safest_bet,3,2023-12-16,Lens,Reims,W,Lens,1,1
2023-12-16,BUNDESLIGA ,RB Leipzig,Hoffenheim,1.47,6.5,1.12,2.8,0.85,0.15,RB Leipzig,0.85,1.47,1.47,safest_bet,3,2023-12-16,RB Leipzig,Hoffenheim,W,RB Leipzig,1,1
2023-12-16,SERIE A ,Napoli,Cagliari,1.32,9.2,1.05,3.4,0.93,0.07,Napoli,0.93,1.32,1.32,safest_bet,3,2023-12-16,Napoli,Cagliari,W,Napoli,1,1
2023-12-17,JUPILER PRO LEAGUE ,Union SG,Mechelen,1.33,9.5,1.05,3.4,0.85,0.15,Union SG,0.85,1.33,1.33,safest_bet,3,2023-12-17,Union SG,Mechelen,W,Union SG,1,1
2023-12-17,JUPILER PRO LEAGUE ,Genk,Kortrijk,1.22,12.0,1.08,4.5,0.94,0.06,Genk,0.94,1.22,1.22,safest_bet,3,2023-12-17,Genk,Kortrijk,W,Genk,1,1
2023-12-17,BUNDESLIGA ,Bayern Munich,Stuttgart,1.42,7.0,1.1,3.0,0.9,0.1,Bayern Munich,0.9,1.42,1.42,safest_bet,3,2023-12-17,Bayern Munich,Stuttgart,W,Bayern Munich,1,1
2023-12-17,SERIE A ,Fiorentina,Hellas Verona,1.47,6.9,1.1,2.7,0.85,0.15,Fiorentina,0.85,1.47,1.47,safest_bet,3,2023-12-17,Fiorentina,Hellas Verona,W,Fiorentina,1,1
2023-12-17,EREDIVISIE ,Heracles Almelo,Feyenoord,12.5,1.23,4.2,1.03,0.28,0.72,Feyenoord,0.72,1.23,1.23,safest_bet,3,2023-12-17,Heracles Almelo,Feyenoord,L,Feyenoord,1,1
2023-12-17,EREDIVISIE ,Ajax,Zwolle,1.28,9.7,1.03,3.6,0.87,0.13,Ajax,0.87,1.28,1.28,safest_bet,3,2023-12-17,Ajax,Zwolle,D,Draw,0,1
2023-12-19,LALIGA ,Atletico Madrid,Getafe,1.44,8.0,1.07,2.85,0.83,0.17,Atletico Madrid,0.83,1.44,1.44,safest_bet,3,2023-12-19,Atletico Madrid,Getafe,D,Draw,0,1
2023-12-20,JUPILER PRO LEAGUE ,Cercle Brugge,Kortrijk,1.36,8.0,1.06,3.25,0.8,0.2,Cercle Brugge,0.8,1.36,1.36,safest_bet,3,2023-12-20,Cercle Brugge,Kortrijk,W,Cercle Brugge,1,1
2023-12-20,LIGUE 1 ,Lyon,Nantes,1.65,4.9,1.18,2.25,0.83,0.17,Lyon,0.83,1.65,1.18,safest_bet,3,2023-12-20,Lyon,Nantes,W,Lyon,1,1
2023-12-21,LALIGA ,Alaves,Real Madrid,5.5,1.6,2.45,1.14,0.33,0.67,Real Madrid,0.67,1.6,1.14,safest_bet,3,2023-12-21,Alaves,Real Madrid,L,Real Madrid,1,1
2023-12-23,JUPILER PRO LEAGUE ,Eupen,Union SG,10.0,1.25,3.75,1.01,0.25,0.75,Union SG,0.75,1.25,1.25,safest_bet,3,2023-12-23,Eupen,Union SG,L,Union SG,1,1
